IDMachine,IDSeance,PoidsMax,RythmeCardiaque
,44,9,101.91,88
,82,719,168.27,147
,56,200,119.75,174
,61,66,138.9,84
,7,354,27.82,66
,85,45,109.93,61
,13,823,83.13,178
,92,492,198.21,169
,91,112,113.18,147
,26,225,135.53,78
,90,394,86.0,106
,44,398,44.53,83
,67,549,107.48,176
,8,577,139.86,109
,97,967,126.34,76
,28,654,122.94,91
,50,460,74.8,169
,89,263,76.46,89
,81,157,128.57,178
,74,754,117.22,125
,99,169,48.94,107
,7,622,125.92,173
,55,835,71.21,177
,22,189,121.69,122
,86,609,98.49,173
,32,498,175.85,110
,32,981,95.24,65
,14,881,151.65,80
,6,255,123.08,61
,9,539,163.65,148
,92,268,172.85,159
,59,230,72.06,128
,63,899,171.34,67
,80,288,140.58,96
,70,658,65.94,92
,16,435,92.69,141
,29,799,116.89,71
,94,979,107.16,172
,89,722,196.01,133
,12,962,71.45,142
,60,738,182.56,97
,18,1,168.58,76
,9,692,148.72,142
,12,623,135.16,106
,15,584,179.66,150
,93,521,51.56,143
,28,777,103.12,96
,27,828,110.06,118
,53,608,106.29,108
,15,612,79.23,117
,70,166,63.34,125
,53,490,79.62,159
,34,489,139.67,86
,48,472,146.7,127
,9,27,72.85,155
,51,383,124.01,69
,93,92,138.38,129
,49,981,105.29,161
,18,689,74.98,177
,93,472,53.38,91
,38,237,146.23,103
,12,114,95.67,67
,28,426,131.53,122
,46,19,39.07,120
,20,576,186.34,144
,67,46,69.14,76
,75,945,82.5,61
,25,617,86.14,176
,78,419,18.05,176
,65,455,181.93,86
,7,763,66.55,179
,61,295,12.41,125
,33,27,96.96,136
,12,126,31.54,128
,31,551,199.68,166
,12,428,111.43,177
,29,587,197.66,140
,99,375,60.81,135
,91,649,19.94,60
,96,677,108.03,76
,31,467,77.55,140
,42,599,89.55,165
,30,671,44.33,122
,12,440,144.21,166
,26,761,54.48,125
,24,10,125.26,137
,22,439,193.38,178
,71,512,151.18,172
,79,596,167.86,166
,61,438,76.5,67
,55,872,199.48,154
,19,896,158.05,163
,27,67,152.08,142
,27,135,123.14,178
,74,403,153.08,157
,85,595,33.57,139
,61,239,176.62,77
,67,367,184.84,160
,16,557,64.75,79
,97,398,30.93,179
,96,26,194.13,172
,55,986,12.36,138
,55,364,150.48,95
,5,865,151.42,93
,26,294,182.94,67
,71,357,145.14,158
,22,253,199.45,143
,76,546,63.14,122
,31,484,83.54,75
,99,971,140.28,86
,61,500,69.63,143
,80,688,71.71,107
,86,171,32.9,68
,27,207,53.34,148
,79,967,193.98,146
,95,688,11.96,100
,96,149,108.87,156
,61,171,41.54,165
,55,71,175.51,75
,34,598,154.88,148
,18,958,175.96,117
,76,86,161.9,76
,95,121,157.24,162
